uniqueId,clean_text,rep_score
zaraind_,usut tuntas brimob yang sudah nabrak ojol,0.240
munajah.ayuaisyia,"lihat vidio,mobil brimob ngelindes pendemo,aku ada vidionya kasihan ya allah",0.154
art7_ari,habis lagi duit anggaran pajak buat beli gas air mata dan air water canon,0.179
mhmdilhamrmdn,gaaaas bandara soekarno-hatta,0.360
kd4vee,#usutmobilbrimob,0.000
sonditia,rip ojol,0.402
asukayang____,sudah tau begitu bukan nya minggir,0.139
kapapatmuiza,"guys :demo di depan gerbang wakil rakyat itu hanya simbolis. di jerman pernah ada demo di bandara. ketika bandara lumpuh, demo sehari saja langsung didengarkan. karena kaitannya sama kepentingan internasional. pasti dapat tekanan kalau ratusan maskapai asing tidak bisa terbang maupun landing. pelabuhan, bandara, jalur perdagangan utama lain itu vital..... lah kalau demo di jalur lambat ya cuma jadi tontonan. kecuali demo di lokasi tidak strategis itu tambah besar dan tak henti henti. ini juga bisa berdampak. cuma sekuat apa dan sebanyak apa orang yang mau berdemo di jalur lambat non strategis?",0.417
snuwhiteu,"sudah kayak zionis ya, jurnalis diserang, medik diserang, ambulan dihadang",0.197
wali2868,kalian pada ingat kagak sama ojol yang ngelempar balik gas airmata,0.101
yuditablo77,apakah akan jadi kanjuruhan part 2?,0.181
yoogiprayoga,mending liput suasana pedesaan,0.099
dyden84,cek vt ku diduga brimob sengaja menabrak seorang ojol hingga tewas,0.184
ummikhaedarohjazilah,ya rab kok tega ya ksian bgmnpun mereka juga ingin menyampaikan aspirasinya,0.098
fhrybojoneanime..._,"presiden cuma omon omon teriak teriak asing asing, itu rakyat lu menderita wowo",0.203
kvbdandingabs.52,kameramen tidak selamat,0.303
niff_admin_baby.man,"demo di depan gerbang wakil rakyat itu hanya simbolis. di jerman pernah ada demo di bandara. ketika bandara lumpuh, demo sehari saja langsung didengarkan. karena kaitannya sama kepentingan internasional. pasti dapat tekanan kalau ratusan maskapai asing tidak bisa terbang maupun landing. pelabuhan, bandara, jalur perdagangan utama lain itu vital..... lah kalau demo di jalur lambat ya cuma jadi tontonan. kecuali demo di lokasi tidak strategis itu tambah besar dan tak henti henti. ini juga bisa berdampak. cuma sekuat apa dan sebanyak apa orang yang mau berdemo di jalur lambat non strategis? ""imagine al the people....block the major trade routes.."" dinyanyikan dengan irama fals",0.416
username150150150150,pakai ini bang,0.285
user5254824029311,'si macd filter eliminated 85% of my bad trades. finally consistent profits!,0.198
m.th2206,"nih yang bilang presiden enggak salah presiden enggak salah, seenggaknya presiden mengasih statement apa begitu yang bisa meredakan amarah pubik, enggak usah jadi pahlawan cukup meredakan dengan omongan yang baik, meminta maaf atau hal-hal yang diperlukan untuk meredakan publik. bukannya bagi-bagi penghargaan",0.131
valleksiy,sumpah gue menyesal pilih prabowo bisa bisa nya dia malah mengasih bintang ke puan sama mantan narapidana. benar benar miris,0.169
akunnyolong14,"diluar rusuh, yang didalem joget²",0.127
marverick.exe,"bro, jurnalis di serang, inimah sudah bukan bubarin, itu mah sudah sampai fase perang orang dalem pemerintah lawan ratusan juta rakyat",0.112
musuhepemerintah,usut brimob yang melindas ojol!!!,0.279
dndaafza,"bagi tugas plis, mahasiswa ke dpr para ojol ke markas brimob biar kita enggak lupa tujuan dan tetap bela keadilan buat almarhum, ingat jangan mau terpecah belah guys pakai logika untuk bisa dapat semuanya, stay safe semua nya",0.403
tuanmudatenka,"mending klean demo di bandara deh, itu kunci utama!!.",0.152
norain_004,kalo semidal polisi setuju sama kita? kenapa mereka enggak kompak buat dukung kita? kenapa malah mereka menghalangi kita? karena mereka mendukung pemerintah,0.096
mas.bim12,lengser prabowo,0.168
inipengguna.nih,disaat negara kayak begini teroris enggak ada satupun anjir,0.158
inajulianti13,sebelas duabelas sama israel nih brimob,0.170
s4mn01,rip ojol dilindes brimob,0.247
lizzzty1,makantuh wahahahaha sudah menyadar kan banyk daerah meminta pisah karena ketidakadilan janjimanis doang awowkwowkw,0.123
__jsjxkxn,rip indonesia,0.402
branzzsave,"kok, gua jadi ikut batuk",0.259
adrian.sine6,ini negara sudah gila banget sih,0.135
yulis.cenel1.gmail.com,polisi digaji uang rakyat dpr biang kerusuhan ini menghamburkan uang rakyat,0.141
nrdn21official,"jangan ada pembelaan lagi, jangan ada pembelokan lagi, adili secepatnya jangan sampai sedikitpun ada kejanggalan atau ruang pembelaan atau perlindungan. sedikitpun jangan. kalau sedikit saja ada hal- hal seperti ini, maka kalian akan tahu seberapa besar api akan menyala dan seberapa besar dampaknya kita semua melihat! kita benar- benar melihat! #acab #usuttuntaspolri #beri keadilan",0.098
chamboungun,"keinginan masyarakat harus di ikuti dan dipenuhi, jika tidak rakyat akan terus berdatangan bukan karena fomo atau ikut-ikutan tapi karena sudah muak dengan oknum berseragam, akan makin ramai setiap kota mengikuti jejak di dki",0.095
gungdeweda_2,"tidak bisa didefinisikan lagi, negara macam apa ini, pejabatnya batu semua",0.306
blowgone,rayap buat ratain pager terus kasih horeg buat defense sama suport sisany psht yang ngeratain,0.164
chocolatte0019,lah di semprot juga jurnalis nih??? segitu negara bobrok,0.083
cipadeluna,"parah, kasihan reporternya pasti perih banget susah nafas",0.176
jend_dxtr,kenapa kita enggak bawa kipas saja ya,0.201
oneforevryone,kan sudah di bilang israel versi lokal,0.148
badutngesot,semoga benar bisa lengser wakil rakyat tapi kecil sih heu,0.162
manusiabernamarei,kenapa enggak bikin kipas gede begitu kayak layang² buat ngibas balik asep nya,0.145
youu_wirr,"palestina israel koar koar, giliran negara sendiri pada kemana tuh kicep diam",0.204
sepurbocil_606,menuju tragedi 98 bab 2,0.134
zio.ajaa,"sudah kayak israel saja, jurnalis pun diserang",0.205
vinzz4everrrrr,harusnya bawa kacamata renang jadi kalo ada gas air mata masa bisa menahan pedesnya,0.166
marraey0,hukum sudah enggak berguna lagi ya di negara ini,0.382
chandz.x1,"ya iyalah kena, mau itu jurnalis,medis, pemadam, siapapun kalo ada disitu ya kena.",0.126
4muun279,"guys, tadi gue lihat salah satu komen yang sangat masuk akal. dimana kita jangan lagi demo di depan gedung dpr mpr, melainkan demo di bandara internasional, atau pusat2 ekonomi internasional. yang mana jika ada demo di tempat tersebut, logistik dan perjalanan internasional otomatis akan terganggu, alhasil banyak pihak luar yang mendorong untuk pemerintah kita bekerja cepat untuk mendamaikan demo dan menyetujui perihal2 yang di bawa di demo tersebut. mungkin ini menjadi inovasi baru untuk memaksa pemerintah segera lakukan apa yang masyarakat tuntut",0.417
wittt_riii,":tadi ada yang komen saran begini guys, kalau demo jangan cuma di jalan raya yang bikin macet tapi kurang didengar. lebih baik diarahkan ke tempat-tempat strategis yang punya pengaruh besar terhadap perekonomian, misalnya kawasan pelabuhan, bandara internasional, atau pusat aktivitas bisnis. dengan begitu, suara rakyat lebih mungkin didengar, seperti yang dilakukan di beberapa negara lain. kalau di indonesia, langkah seperti ini bisa jadi lebih efektif untuk menekan pemerintah agar benar-benar memperhatikan aspirasi rakyat.",0.411
ahyayy,ya allah rezim sudah kayak israel,0.207
keizan.kudo,"inimah mirip israel juga lama lama, tim media saja tetap kena",0.180
firmanhoys,polisi sama saja kayak zionist,0.174
vkaxfyfimlgs,"di depan gerbang wakil rakyat itu hanya simbolis. di jerman pernah ada demo di bandara. ketika bandara lumpuh, demo sehari saja langsung didengarkan. karena kaitannya sama kepentingan internasional. pasti dapat tekanan kalau ratusan maskapai asing tidak bisa terbang maupun landing. pelabuhan, bandara, jalur perdagangan utama lain itu vital..... lah kalau demo di jalur lambat ya cuma jadi tontonan. kecuali demo di lokasi tidak strategis itu tambah besar dan tak henti henti. ini juga bisa berdampak. cuma sekuat apa dan sebanyak apa orang yang mau berdemo di jalur lambat non strategis? ayo terapkan demo kayak begini!!!!",0.417
fansmu361,"jangan lupa, meskipun ini berita buruk tapi ingat mereka bisa memakai insiden ini jadi pengalihan, merubah arah demo yang awalnya ke dpr jadi ke polisi, jangan lupa tujuan dari semua ini.",0.172
neomulon3ly,kali ini kameramen juga tidak selamat,0.306
siapoyeeeee123,"demo di depan gerbang wakil rakyat itu hanya simbolis. di jerman pernah ada demo di bandara. ketika bandara lumpuh, demo sehari saja langsung didengarkan. karena kaitannya sama kepentingan internasional. pasti dapat tekanan kalau ratusan maskapai asing tidak bisa terbang maupun landing. pelabuhan, bandara, jalur perdagangan utama lain itu vital..... lah kalau demo di jalur lambat ya cuma jadi tontonan. kecuali demo di lokasi tidak strategis itu tambah besar dan tak henti henti. ini juga bisa berdampak. cuma sekuat apa dan sebanyak apa orang yang mau berdemo di jalur lambat non strategis? ayo terapkan demo kayak begini!!!!",0.417
sharuzuya,sudah seiras sama israhel woy,0.255
andindeanova,"lama lama indonesia kaya israel, warga sipil diserang brutal, jurnalis juga kenapa cepat sembuh merah-putih ku",0.137
hrazlyr_,israel wkwk,0.270
frh__anztn,polisi enggak punya otak,0.156
f2go,sudah mirip israel saja,0.180
masmasjawa2609,rakabuming diam saja pak rakyatnya sampai ada yang meninggal dilindes brimob??,0.165
dan_cha21df,presiden rakabuming woi buka mata lo !!! kalian tau enggak keadaan ini !!! kalian dulu kampanye meminta suara. giliran kita bersuara tampang kalian enggak menampak,0.113
0_0.emma,kenapa harus pakai gas air mata bertubi² begitu sih,0.209
halo.ahmadd,semua bisa kena (gas air mata),0.268
yohanes045_,"polisinya sampai ngejar, lihat tameng nya yang kanan bawah sampai banyak darah",0.100
fxaryzan,"selain demo untuk menuntut keadilan rakyat tapi belum didengar, ada lagi nih komen-komen judol yang makin hari menambah banyak",0.103
bangabut_22,kalau polisian boleh main kekerasan kalau rakyat gaboleh,0.132
sandiyudha68_,"resiko meliput, kalo enggak mau kena jangan dsitu, namanya lagi demo pasti ada seperti, ingat cn siapa yang punya",0.124
zha_ri8,hukum sudah enggak berguna ya di negara ini ?,0.382
muhmy4,https://vt.tiktok.com/zsahdsbrb/ vt gojek dilindes,0.112
brandalixs26,"semoga selamat semua pendemo dari setan cokelat, amin",0.222
mosatoutfit,solusinya,0.230
shoki.1704,"kenak petasan, padahal kena gas air mata",0.267
ahmadfathirhid,info ada ojol yang kena lindes sama mobil polisi,0.168
borninthursday,tidak ada berita seharga nyawa,0.159
arfaayondemand,"menuduh ai, gaboleh live tiktok, oh ini",0.167
yniiwjy,"di tambah lagi tadi ada berita ojol di lind*es sama mobil brimop kalo enggak salah,sampai meninggal ya tuhan sedih banget",0.112
greensnakekadut,pakai kacamata renang bang,0.313
ulul.nk98,ojol ada yang kelindes aparat videonya sudah tersebar,0.133
agusti.nm,tikus kok di jaga lucu,0.144
dapiiyk,#ojolusuttuntas,0.400
siabu_sirit,memasuki tv lah bang masa semua channel tv kgk di siarin tentang demo yang sekarang malah debat yang enggak penting,0.103
nugossss,up terus beritanya sampai jadi berita internasional biar semua tau bobroknya birokrasi di indonesia,0.166
fan_kutayang,tadi ojol dilindas sampai meninggal dilindes mobil brimob semoga pihak luar negeri menyorot berita ini,0.162
laurachantikaputri22,kkb come herre,0.269
mannadimanaa,stop bayar pajak,0.401
lian_andrian22,"""kami dari kepolisian yang melindungi pejabat korup"" aturan bicara begitu pakai toak pakai",0.134
ayualfiaaa_,sadar gasi beberapa hari ini dikasih mendung biar pendemo enggak kepanasan,0.108
zanssaja20,up,0.403
idokedokridho,"kalian hanya melihat sisi jeleknya polisi , padahal sisi baiknya juga enggak ada",0.406
flazyy15,oy ojol yang kelindes bagaimana,0.324
sidik_parker,up terus,0.402
halimahlim10,habis nangisin abang ojol,0.237
black_owl_404,"jir mentang2 bahannya dari besi, langsung di looting",0.280
eigbfme,“giliran urusan cewek saja dia cepat” :,0.231
nadiaa18__,"sebenarnya tuh polisi gen saja malas ikut"" demo,soalnya teman gue polisi,pasang sg dengan capt""malas banget ikut""",0.139
danise.xing,"tolong notice ini‼jangan jadikan pelabuhan, bandara, stasiun, dan rumah sakit jadi sasaran demo!!!! objek-objek vital ini kalau rusak bikin ekonomi kita ambruk, jadi masyarakat cerdas untuk enggak terprovokasi buat demo ke objek-objek vital ini! yang susah pada akhirnya kita lagi kita lagi! tetap waras dan fokus ke tujuan awal demo! jangan terprovokasi dan jangan mau ditunggangi!!!",0.417
hakaukukus,lah laki laki kalo ketawa sambil mukul2 juga ya?,0.233
frozebiten,ini polisi gen saja mending pura pura kerja saja biar yang demo bisa masuk,0.225
vvisp025,"nene"" ngambil ranting kayu di penjara. lah ini bagaimana wkwk",0.115
piloveu_,enggak apa-apa bagus jadi polisi nya mengurusi tameng,0.152
acied_y,tapi mental sih cewek keren loh... dia cewek sendiri diantara para laki-laki itu. entah argument apa mereka. keren mentalnya,0.171
bandungbelongstous1933,"""merahnya bukan lagi berani, tapi darah rakyat yang ditumpahkan. putihnya bukan suci, tapi kepolosan rakyat yang terus dimanfaatkan.""",0.406
cicitcuitt22,"plis guys kalian yang demo jangan demoin polisi nya saja, fokus juga ke dpr, karena dpr dia sprtinya sngja mnglihkan demo ke para polisi",0.111
ndasmundasmu,"ya gapapa, itu kan dari pajak kita. punya kita juga itu mah",0.126
koj.rins,kalian pikir polisi yang pakaian biasa cuma cowok saja?,0.137
maybe.you045,rezeki hari ini 45 juta,0.224
lidiaaaa243,eh eh eh senyum²,0.234
taurusmei17,"teman gua polisi, malah ngikut dukung demo , dan update enggak suka sama pemerintahan sekarang tapi updatenya closefriend",0.111
copyey,lumayan cik,0.254
holllavyyy,"sumpah menangis, yang sedihnya adalah mereka yang di demo tengah duduk manis bahkan mungkin sedang menonton lewat ponselnya,sedang di luar aparat yang melindungi jadi korban dan yang menyuarakan di basmi seperti seoalah olah merekalah tikusnya.",0.099
_ur.sweetenemy,"tolong notice ini‼jangan jadikan pelabuhan, bandara, stasiun, dan rumah sakit jadi sasaran demo!!!! objek-objek vital ini kalau rusak bikin ekonomi kita ambruk, jadi masyarakat cerdas untuk enggak terprovokasi buat demo ke objek-objek vital ini! yang susah pada akhirnya kita lagi kita lagi! tetap waras dan fokus ke tujuan awal demo! jangan terprovokasi dan jangan mau ditunggangi!!! jangan rusak fasilitas fasilitas rakyat, toko, mal, stasiun jangan dirusuh, ingat, kita kerja cari uang disana.",0.417
rsfhm,sa saja lu pak,0.249
akakanyo88,"3hari woi dikasi hujan tipis2 dan mendung,,,langitpun ikut mendukung,,,biar saudaraku tidak kepanasan",0.106
endah_viva,apa harus lc ikut turun wkwkwk,0.195
aulia.mentari2,"untuk teman"" jangan ada yang memakai seragam soalnya banyak intel dari stasiun maupun sudirman, soalnya banyak yang ketangkep tadi pas gua di sudirman, info ini untuk anak"" smk/sama/sampai yang mau ikut mohon lepas seragam soalnya intel lagi banyak banget lagi mantau anak anak pelajar, kalian pakai pakaian yang rada tebal dikit ataupun agar enggak kelihatan pelajar, sudah 20 pelajar ketangkep di polres gara"" di curigain + memakai seragam saat demo. sudah angin banget sekarang, ini gue peringatin ya hati hati buat pelajar yang mau ikut semangat buat kalian",0.412
fzlrudi,"di depan gerbang wakil rakyat itu hanya simbolis. di jerman pernah ada demo di bandara. ketika bandara lumpuh, demo sehari saja langsung didengarkan. karena kaitannya sama kepentingan internasional. pasti dapat tekanan kalau ratusan maskapai asing tidak bisa terbang maupun landing. pelabuhan, bandara, jalur perdagangan utama lain itu vital..... lah kalau demo di jalur lambat ya cuma jadi tontonan. kecuali demo di lokasi tidak strategis itu tambah besar dan tak henti henti. ini juga bisa berdampak. cuma sekuat apa dan sebanyak apa orang yang mau berdemo di jalur lambat non strategis?",0.416
ketiknamakamu_,tetap bersama rakyat tapi terhalang oleh tugas jadi orang mengira polisi di pihak pejabat,0.226
suka.belanja.onli00,tameng polisi demo di ambil.,0.197
tiaapriliyaaa,besok masih demo enggak guys? mencari barengan plis,0.126
expanded_ky,"pengemudi ojek online kelindes mobil brimob melintas ditengah masa aksi demo, mobil langsung kabur langsung di kejar sesama ojek online",0.207
fadlimuafi,kegunaan polisi indonesia apa sih,0.193
calon_idaman281,awas itu cewek bapak nya tni,0.172
scalper.ltd,ini karena ulah dpr aparat dan masyarakat kecil jadi korban,0.237
botol...yakult,bisa-bisanya dia pada cengar cengir,0.172
maviajambu,ojol nya bagaimana,0.288
sb.templatee,"hah, seriusan bapak ojol kena lindes?",0.133
tsya.rfa44,kalian tau kabar keluarga yang ojol itu gavguys,0.133
idn0000000,mbaknya mengapai?,0.174
iyetoh,sadar kamera dia gaes,0.121
gaoida,"tolong notice ini‼jangan jadikan pelabuhan, bandara, stasiun, dan rumah sakit jadi sasaran demo!!!! objek-objek vital ini kalau rusak bikin ekonomi kita ambruk, jadi masyarakat cerdas untuk enggak terprovokasi buat demo ke objek-objek vital ini! yang susah pada akhirnya kita lagi kita lagi! tetap waras dan fokus ke tujuan awal demo! jangan terprovokasi dan jangan mau ditunggangi!!!",0.417
_inoravibes,itu tameng mau di jual kah??,0.201
typo_ambyar007,itu apa ambarita bukan sih,0.290
rhe_038,"satu pertanyaan gue,,, mbak itu tameng mau buat apa?!?!",0.157
iamcahh3,maaf salah fokus,0.261
arasaras495,prng waktu itu aku sama suami ke kantor polisi. kata suami..kamu saja gih yang masuk ke dalam...soalny polisi kalo sama cewek ramah banget....lah kocak ya,0.133
shalsrr_,"demo di depan gerbang wakil rakyat itu hanya simbolis. di jerman pernah ada demo di bandara. ketika bandara lumpuh, demo sehari saja langsung didengarkan. karena kaitannya sama kepentingan internasional. pasti dapat tekanan kalau ratusan maskapai asing tidak bisa terbang maupun landing. pelabuhan, bandara, jalur perdagangan utama lain itu vital..... lah kalau demo di jalur lambat ya cuma jadi tontonan. kecuali demo di lokasi tidak strategis itu tambah besar dan tak henti henti. ini juga bisa berdampak. cuma sekuat apa dan sebanyak apa orang yang mau berdemo di jalur lambat non strategis? ""imagine al the people....block the major trade routes..."" dinyanyikan dengan irama fals",0.416
adekdaknyal,serius amat bang,0.276
diaannnchya,kalo demo begini apa ada donatur nya ?,0.100
fjrrzkalfansh,lihat prabowo sudah klarifikasi,0.343
yyptts,": tadi ada yang komen saran begini guys, kalau demo jangan cuma di jalan raya yang bikin macet tapi kurang didengar. lebih baik diarahkan ke tempat-tempat strategis yang punya pengaruh besar terhadap perekonomian, misalnya kawasan pelabuhan, bandara internasional, atau pusat aktivitas bisnis. dengan begitu, suara rakyat lebih mungkin didengar, seperti yang dilakukan di beberapa negara lain. kalau di indonesia, langkah seperti ini bisa jadi lebih efektif untuk menekan pemerintah agar benar-benar memperhatikan aspirasi rakyat.",0.411
rosida0270,lagian anak sekolah ikut-ikut demo anak sekolah mah belajar saja yang benar kalau orang tuanya tau juga pasti ngomel,0.234
aiiiloveuu,"ini kita enggak lagi di adu domba kan ya? takutnya ya takutnya dpr berhasil digulingkan terus mau diganti dengan sistem baru yang isinya anggota tni semua? takutnya, cmiiw ya maaf kalo ada salah",0.105
dddhee._.yyy,"tapi jujur sih , aku bingung juga ini yang pada demo tuh menuntut apa ? dan sudah lebih dari 3 hari loh demonya . pak presiden ? atau wapres enggak ada cita""? buat turun terus bertanya 1 saja perwakilan dari pendemo tujuan mereka tuh apa ? dan kalo memang mash bisa dikabulkan kenp enggak dikabulkan? kalo masalah pajak/money? kan bisa tuh gaji dpr enggak terlalu tinggi dan pajak jangan terlalu tinggi . biar jadi balance",0.091
baydayy3,"guys: kalau demo jangan cuma di jalan raya yang bikin macet tapi kurang didengar. lebih baik diarahkan ke tempat-tempat strategis yang punya pengaruh besar terhadap perekonomian, misalnya kawasan pelabuhan, bandara internasional, atau pusat aktivitas bisnis. dengan begitu, suara rakyat lebih mungkin didengar, seperti yang dilakukan di beberapa negara lain. kalau di indonesia, langkah seperti ini bisa jadi lebih efektif untuk menekan pemerintah agar benar-benar memperhatikan aspirasi rakyat #fokusbubarkandpr",0.410
nuruly004,serasa hidup di akhir indonesia,0.148
yeyentobing_,"heryadi:demo di depan gerbang wakil rakyat itu hanya simbolis. di jerman pernah ada demo di bandara. ketika bandara lumpuh, demo sehari saja langsung didengarkan. karena kaitannya sama kepentingan internasional. pasti dapat tekanan kalau ratusan maskapai asing tidak bisa terbang maupun landing. pelabuhan, bandara, jalur perdagangan utama lain itu vital..... lah kalau demo di jalur lambat ya cuma jadi tontonan. kecuali demo di lokasi tidak strategis itu tambah besar dan tak henti henti. ini juga bisa berdampak. cuma sekuat apa dan sebanyak apa orang yang mau berdemo di jalur lambat non strategis? ayo terapkan demo kayak begini!!!!!",0.417
kikihamid129,"kasih cewek"" cantik demo",0.173
elga.kuncayasa,"name:up guys :demo di depan gerbang wakil rakyat itu hanya simbolis. di jerman pernah ada demo di bandara. ketika bandara lumpuh, demo sehari saja langsung didengarkan. karena kaitannya sama kepentingan internasional. pasti dapat tekanan kalau ratusan maskapai asing tidak bisa terbang maupun landing. pelabuhan, bandara, jalur perdagangan utama lain itu vital..... lah kalau demo di jalur lambat ya cuma jadi tontonan. kecuali demo di lokasi tidak strategis itu tambah besar dan tak henti henti. ini juga bisa berdampak. cuma sekuat apa dan sebanyak apa orang yang mau berdemo di jalur lambat non strategis? ""imagine al the people....block the major trade routes..."" dinyanyikan dengan irama fals",0.414
adismodeprivate,"permana:guys, tadi gue lihat salah satu komen yang sangat masuk akal. dimana kita jangan lagi demo di depan gedung dpr mpr, melainkan demo di bandara internasional, atau pusat2 ekonomi internasional. yang mana jika ada demo di tempat tersebut, logistik dan perjalanan internasional otomatis akan terganggu, alhasil banyak pihak luar yang mendorong untuk pemerintah kita bekerja cepat untuk mendamaikan demo dan menyetujui perihal2 yang di bawa di demo tersebut. mungkin ini menjadi inovasi baru untuk memaksa pemerintah segera lakukan apa yang masyarakat tuntut",0.417
yaya060220,"tadi gue lihat salah satu komen yang sangat masuk akal. dimana kita jangan lagi demo di depan gedung dpr mpr, melainkan demo di bandara internasional, atau pusat2 ekonomi internasional. yang mana jika ada demo di tempat tersebut, logistik dan perjalanan internasional otomatis akan terganggu, alhasil banyak pihak luar yang mendorong untuk pemerintah kita bekerja cepat untuk mendamaikan demo dan menyetujui perihal2 yang di bawa di demo tersebut. mungkin ini menjadi inovasi baru untuk memaksa pemerintah segera lakukan apa yang masyarakat tuntut",0.417
riarenata28,"tuh cewek sbnrnya mau kenalan kali sama polisinyadia pura"" ngmbl tameng",0.195
xdymp4,"tolong notice ini‼jangan jadikan pelabuhan, bandara, stasiun, dan rumah sakit jadi sasaran demo!!!! objek-objek vital ini kalau rusak bikin ekonomi kita ambruk, jadi masyarakat cerdas untuk enggak terprovokasi buat demo ke objek-objek vital ini! yang susah pada akhirnya kita lagi kita lagi! tetap waras dan fokus ke tujuan awal demo! jangan terprovokasi dan jangan mau ditunggangi!!!",0.417
tmtalbrk,part 3 demo ojol,0.226
pamanmuto12,"brimob kena ngab, cek vt gua",0.268
hwomny,"tapi gue juga penasaran jir, apa gue ikut demo ya? biar nanti ngambil tameng nya",0.123
putri.nurshafa,"tadi gue lihat salah satu komen yang sangat masuk akal. dimana kita jangan lagi demo di depan gedung dpr mpr, melainkan demo di bandara internasional, atau pusat2 ekonomi internasional. yang mana jika ada demo di tempat tersebut, logistik dan perjalanan internasional otomatis akan terganggu, alhasil banyak pihak luar yang mendorong untuk pemerintah kita bekerja cepat untuk mendamaikan demo dan menyetujui perihal2 yang di bawa di demo tersebut. mungkin ini menjadi inovasi baru untuk memaksa pemerintah segera lakukan apa yang masyarakat tuntut",0.417
lifeupdate.aw,"di depan gerbang wakil rakyat itu hanya simbolis. di jerman pernah ada demo di bandara. ketika bandara lumpuh, demo sehari saja langsung didengarkan. karena kaitannya sama kepentingan internasional. pasti dapat tekanan kalau ratusan maskapai asing tidak bisa terbang maupun landing. pelabuhan, bandara, jalur perdagangan utama lain itu vital..... lah kalau demo di jalur lambat ya cuma jadi tontonan. kecuali demo di lokasi tidak strategis itu tambah besar dan tak henti henti. ini juga bisa berdampak. cuma sekuat apa dan sebanyak apa orang yang mau berdemo di jalur lambat non strategis?",0.416
mumuy_jelek,"apakah setelah ojol di libas mobil rantis brimob,, apakah emak"" yang harus turun ke dpr ri",0.143
mengqy_asya,"itu di belakang banyak mbak, ambil yang di belakang saja jangan rebutan itu",0.169
yuann0405,yey....mereka malah pada ngerumpi,0.239
cgaddicts,"tolong notice ini‼jangan jadikan pelabuhan, bandara, stasiun, dan rumah sakit jadi sasaran demo!!!! objek-objek vital ini kalau rusak bikin ekonomi kita ambruk, jadi masyarakat cerdas untuk enggak terprovokasi buat demo ke objek-objek vital ini! yang susah pada akhirnya kita lagi kita lagi! tetap waras dan fokus ke tujuan awal demo! jangan terprovokasi dan jangan mau ditunggangi!!! jangan rusak fasilitas fasilitas rakyat, toko, mal, stasiun jangan dirusuh, ingat, kita kerja cari uang disana.",0.417
mba_ayangku,"buat temen² yang baru mau turun demo tetap safety ya guys utamakan keselamatan!!., banyak banget intel berkedok pelajar., gojek dl., karena banyak yang ketangkep+di pukuli. info nye buat smk/sama/sampai yang mau ikut mohon lepas seragam soalnya intel lagi banyak banget lagi mantau pelajar. kalian pakai pakaian yang rada tebal dikit ataupun agar enggak kelihatan pelajar. sudah banyak banget pelajar yang ketangkep di polres gara"" sih curigain + memakai seragam saat demo. angin nye sudah chaos banget sekarang., sekedar saran - tutup identitas termasuk wajah sama sidik jari - kalau bawa kendaraan pribadi usahain jauh dari lingkungan demo semangat bro!!",0.403
bilaaliana,"tolong notice ini‼jangan jadikan pelabuhan, bandara, stasiun, dan rumah sakit jadi sasaran demo!!!! objek-objek vital ini kalau rusak bikin ekonomi kita ambruk, jadi masyarakat cerdas untuk enggak terprovokasi buat demo ke objek-objek vital ini! yang susah pada akhirnya kita lagi kita lagi! tetap waras dan fokus ke tujuan awal demo! jangan terprovokasi dan jangan mau ditunggangi!!! jangan rusak fasilitas fasilitas rakyat, toko, mal, stasiun jangan dirusuh, ingat, kita kerja cari uang disana.",0.417
zylus_space,minimal eko sama uya kuya keluar dari dpr,0.233
tembusanubi,padahal itu tameng buat lindungi majikan nya,0.171
amethystx02,"kak. boleh enggak nitip sesuatu, nanti pas demo tolong infokan kalo kena gais air mata cuci muka pakai air yang dicampur garem non yodium atau susu atau air mengalir. jangan pakai odol nanti tambah iritasi mata mereka. sama kalo keisep pakai kain basah tutup mulutnya. soalnya lihat teman teman yang demo pada sesek. yang perempuan mau bantu share info ini biar pada save. semangat yang demo.",0.410
dinda1717_,coba dari kemarin pada akur begitu ya aparat pasti enggak ada korban jiwa. kita barengan berjuang biar terlepas dari penindasan,0.119
mhalimindratho,anjir gabut nya ngambil tameng,0.172
inayah031,mengomongkan apa sih seru benar,0.267
saskiashiaomemey,polisinya pengin demo tapi bagaimana ya namanya juga tugas negara . tau bingung juga jdinya.,0.195
sadi_yyhv,:guys... ramein tiktoknya kak salsa erwina ya guys.. cuma suara dia yang memungkinkan untuk mendapatkan dukungan internasional.,0.404
annaliese.serlin,baca ini guys,0.228
gaoida,"::tolong notice ini‼jangan jadikan pelabuhan, bandara, stasiun, dan rumah sakit jadi sasaran demo!!!! objek-objek vital ini kalau rusak bikin ekonomi kita ambruk, jadi masyarakat cerdas untuk enggak terprovokasi buat demo ke objek-objek vital ini! yang susah pada akhirnya kita lagi kita lagi! tetap waras dan fokus ke tujuan awal demo! jangan terprovokasi dan jangan mau ditunggangi!!!",0.417
inluvv_nitaa1,gue masih teringat mulu sama pak ojol,0.118
anakibudiah,sih bapak be like:boleh juga ya dek,0.176
aysasi0,kalo cewek diajak mengomong baik².. masalahnya cewek kalo ditegur ujung²nya cengar cengir saja kayak saya,0.172
saritem2374,punya dia itu. dia bayar pajak,0.184
harib828,gara gara ada yang dengan keras bilang saya kan artis !!!!,0.210
ciayipeee,aku juga mau menggatal,0.208
ita28308,apa yang turun demo harus cewek semua kali ya biar ampuh,0.134
incuabhanhata,itu yang paling belakang kemarin habis karaoke di tempat ku,0.171
breikingnews,hidup perempuan yang melawan,0.304
winardstore,bagus lah,0.330
